height,weight,age,gender,activity_level,fitness_level,goal,muscle_mass,body_fat_percentage,body_fat_mass,water,protein_intake,minerals,bmi,calories,protein,carbs,fat
1.705,77.9,46,Male,2,1,maintain,34.26,18.5,14.42,43.49,13.95,3.5,26.81,2235,104.9,295.0,70.6
1.577,69.0,46,Female,1,3,lose_fat,26.26,25.23,17.4,35.87,10.99,3.06,27.74,1151,130.1,77.8,35.5
1.539,61.6,38,Female,1,2,lose_fat,26.96,35.58,21.92,27.82,8.43,2.13,26.01,1100,84.3,101.4,39.7
1.673,46.7,31,Male,2,2,gain_muscle,20.25,20.22,9.45,27.26,7.69,2.13,16.71,2183,95.5,288.7,71.8
1.526,57.3,19,Female,2,1,gain_muscle,28.46,23.95,13.72,31.25,9.2,2.8,24.6,1923,102.8,243.8,59.6
1.614,51.3,17,Female,1,1,maintain,20.96,20.94,10.75,29.62,7.45,2.52,19.71,1552,72.6,195.5,53.3
1.646,84.6,32,Male,2,1,maintain,40.5,13.91,11.76,51.83,13.95,4.29,31.22,2317,124.5,279.2,78.0
1.702,56.3,53,Male,3,2,gain_muscle,26.91,13.92,7.84,36.01,9.47,2.46,19.46,2405,111.7,285.7,90.6
1.588,59.2,32,Female,5,3,maintain,26.6,22.3,13.21,31.71,10.19,2.69,23.48,2366,108.6,316.6,73.9
1.756,72.3,21,Male,2,1,gain_muscle,33.87,11.79,8.53,45.21,13.15,3.54,23.45,2579,123.6,334.2,83.1
1.765,93.8,36,Male,2,1,lose_fat,48.4,23.61,22.15,52.97,13.09,4.87,30.11,2097,144.5,219.1,71.4
1.741,67.0,16,Male,2,1,maintain,31.1,21.44,14.36,37.99,10.54,3.65,22.1,2286,101.0,301.1,75.3
1.626,47.2,27,Female,2,1,lose_fat,21.66,26.08,12.32,25.75,7.2,2.29,17.86,1179,70.8,143.4,35.8
1.663,50.0,50,Female,3,2,gain_muscle,23.58,24.68,12.34,27.93,7.13,2.2,18.08,1989,95.5,250.6,67.2
1.66,61.5,43,Female,1,3,lose_fat,28.64,31.71,19.5,29.51,8.14,2.12,22.32,1100,101.6,93.8,35.4
1.51,53.5,30,Female,3,3,lose_fat,22.62,31.46,16.83,26.58,8.04,2.09,23.45,1303,90.5,136.7,43.8
1.832,85.7,49,Male,3,2,lose_fat,42.3,18.27,15.66,50.87,13.81,4.5,25.56,2288,157.2,252.1,72.3
1.649,60.8,25,Female,2,1,maintain,26.65,33.45,20.32,28.46,7.07,2.99,22.35,1891,88.3,236.0,66.0
1.61,67.3,55,Male,5,2,gain_muscle,29.11,16.87,11.36,40.23,10.64,3.87,25.95,2942,151.0,367.8,96.3
1.75,69.1,22,Male,2,2,gain_muscle,29.99,14.75,10.2,42.5,11.02,3.35,22.59,2598,137.5,296.0,96.0
1.464,54.9,56,Female,2,1,maintain,21.72,31.16,17.1,28.09,7.99,2.48,25.6,1419,86.5,176.4,40.8
1.756,75.0,37,Male,3,3,lose_fat,37.32,20.12,15.09,43.58,9.66,4.01,24.33,2055,138.7,213.5,71.8
1.662,77.4,34,Female,4,3,gain_muscle,38.67,32.89,25.46,38.21,9.03,3.54,28.04,2891,170.4,336.8,95.8
1.596,87.0,57,Female,2,1,maintain,32.46,32.77,28.5,44.71,11.64,3.92,34.13,1956,113.3,231.7,64.0
1.65,54.8,57,Female,4,3,gain_muscle,20.63,29.75,16.29,27.78,6.79,3.13,20.11,2339,126.5,288.8,75.3
1.541,60.9,28,Female,5,3,maintain,27.66,31.42,19.15,30.04,8.21,3.09,25.66,2416,111.2,306.0,83.0
1.488,53.4,21,Female,2,3,maintain,25.14,39.62,21.17,23.68,6.33,3.06,24.14,1652,97.3,185.9,57.7
1.698,66.4,40,Male,4,2,lose_fat,35.85,16.65,11.05,39.96,10.16,2.49,23.04,2189,115.5,274.9,69.7
1.661,81.5,36,Male,5,3,lose_fat,41.34,18.62,15.18,50.1,12.8,3.8,29.55,2695,153.0,330.0,84.8
1.77,75.5,65,Male,1,1,maintain,31.65,26.06,19.69,39.32,10.8,3.15,24.11,1882,104.9,235.6,57.8
1.694,60.8,26,Male,2,2,gain_muscle,29.26,22.82,13.88,35.44,9.68,3.06,21.2,2373,125.2,313.9,68.5
1.628,71.2,40,Male,1,1,lose_fat,35.41,15.02,10.69,41.07,12.15,2.96,26.86,1362,115.0,129.6,42.6
1.589,46.8,43,Female,4,3,gain_muscle,21.44,32.62,15.27,22.57,6.42,2.01,18.54,2255,100.7,299.5,72.7
1.759,82.5,20,Male,5,2,maintain,43.48,14.56,12.01,49.99,12.61,3.9,26.65,3482,146.2,456.1,119.2
1.758,59.3,30,Male,2,1,gain_muscle,25.02,17.02,10.1,35.66,8.66,3.22,19.2,2303,104.8,283.3,83.4
1.7,61.0,35,Male,5,2,lose_fat,31.46,27.49,16.77,31.65,8.6,3.07,21.12,2286,102.0,314.9,68.7
1.774,67.9,69,Male,2,1,maintain,32.37,22.14,15.04,38.19,9.33,3.24,21.58,1962,99.1,259.1,58.8
1.654,52.2,62,Female,2,1,gain_muscle,19.82,26.61,13.9,27.75,7.13,2.46,19.1,1709,93.1,209.3,55.5
1.543,46.1,56,Female,1,1,maintain,19.53,29.39,13.55,23.09,5.77,2.0,19.36,1199,67.6,144.4,39.0
1.606,70.9,17,Female,2,2,maintain,33.68,23.88,16.93,37.71,11.2,3.03,27.48,2009,117.3,237.8,65.4
1.664,69.7,64,Female,2,1,maintain,26.59,25.08,17.49,37.42,10.67,3.46,25.2,1743,107.0,181.8,65.3
1.702,78.3,43,Male,2,1,gain_muscle,38.25,10.12,7.92,48.48,14.38,3.84,27.03,2426,150.4,277.7,79.3
1.638,64.4,52,Female,3,2,lose_fat,30.19,31.99,20.6,31.3,9.16,3.14,24.01,1388,100.7,142.1,46.3
1.888,93.2,33,Male,3,1,gain_muscle,44.59,8.29,7.73,59.31,17.23,4.13,26.15,3217,156.0,382.5,118.1
1.552,42.0,45,Male,4,2,gain_muscle,18.07,8.0,3.36,28.07,8.29,2.0,17.43,2290,82.8,331.3,70.4
1.656,68.5,24,Male,2,1,lose_fat,31.66,25.47,17.46,38.18,9.98,2.78,24.99,1647,99.6,192.9,53.0
1.652,76.5,51,Female,2,1,lose_fat,28.17,29.18,22.32,39.47,10.23,4.08,28.04,1472,106.9,154.2,47.5
1.682,77.4,23,Male,2,1,maintain,33.15,14.17,10.97,47.47,12.43,3.32,27.37,2335,106.6,300.3,78.6
1.752,86.3,20,Male,2,2,gain_muscle,39.74,18.97,16.37,53.04,13.77,4.19,28.11,2814,174.9,306.3,98.8
1.638,73.8,24,Male,3,2,lose_fat,32.43,31.83,23.5,36.09,9.53,3.5,27.51,1877,106.3,218.3,64.3
1.598,60.1,56,Male,2,1,gain_muscle,24.81,18.35,11.03,35.7,9.86,2.88,23.55,2055,106.6,269.0,61.4
1.556,46.9,37,Female,2,2,maintain,20.59,24.02,11.27,26.26,7.41,2.18,19.37,1484,75.2,184.0,49.7
1.825,87.0,60,Male,2,1,gain_muscle,43.66,12.25,10.66,55.52,15.33,4.73,26.13,2557,149.3,310.0,80.0
1.765,70.4,53,Male,1,1,lose_fat,31.9,28.47,20.04,36.78,10.07,3.17,22.6,1278,103.0,122.9,41.6
1.806,87.4,18,Male,2,1,gain_muscle,40.76,23.52,20.55,46.82,13.25,3.83,26.79,2812,165.8,309.5,101.2
1.496,59.2,59,Female,4,3,maintain,22.58,35.31,20.89,27.32,6.18,2.61,26.43,1865,118.0,206.3,63.1
1.798,71.7,34,Male,4,2,maintain,31.81,17.76,12.73,43.03,10.82,3.39,22.17,2858,124.6,388.5,89.5
1.687,50.0,69,Male,1,1,lose_fat,21.0,27.83,13.91,24.84,5.84,2.31,17.57,1100,73.6,113.6,39.0
1.716,75.8,48,Male,3,3,lose_fat,38.49,25.71,19.49,41.28,11.61,4.16,25.74,1920,132.6,207.7,62.1
1.582,49.7,43,Female,1,1,gain_muscle,23.61,21.36,10.62,28.29,7.48,2.1,19.86,1552,85.0,184.4,52.7
1.668,65.6,66,Female,2,2,lose_fat,23.94,35.12,23.03,30.74,7.78,3.46,23.59,1100,100.3,92.3,36.6
1.599,55.6,57,Female,3,2,lose_fat,24.94,31.64,17.6,27.91,7.54,2.35,21.75,1217,85.9,126.3,40.9
1.768,82.4,55,Male,1,1,gain_muscle,38.12,22.26,18.34,47.12,12.85,3.6,26.36,2134,154.5,228.9,66.7
1.571,75.5,20,Female,3,2,gain_muscle,31.07,28.16,21.26,39.93,10.67,4.1,30.61,2512,151.5,292.2,81.9
1.625,77.8,43,Female,5,3,lose_fat,37.38,27.33,21.26,42.11,10.03,4.17,29.47,2196,138.6,226.1,81.9
1.576,49.6,51,Female,3,2,maintain,23.71,28.73,14.25,26.3,7.33,2.18,19.98,1609,82.9,202.8,51.8
1.821,54.7,35,Male,2,1,gain_muscle,26.44,14.09,7.71,33.62,9.82,2.78,16.5,2326,97.7,298.2,82.5
1.788,71.7,66,Male,3,2,lose_fat,33.59,23.98,17.19,38.92,10.69,3.02,22.41,1792,111.6,208.4,56.9
1.661,67.4,33,Male,2,1,lose_fat,29.38,17.81,12.0,41.63,11.31,2.99,24.42,1670,112.4,168.8,60.6
1.522,43.7,54,Female,4,2,lose_fat,18.0,28.91,12.64,23.08,5.89,2.06,18.87,1226,68.9,152.1,38.0
1.718,71.4,19,Male,2,1,maintain,31.91,20.7,14.77,41.49,11.54,3.7,24.18,2327,101.7,311.8,74.8
1.772,86.5,43,Male,2,2,lose_fat,36.87,23.31,20.17,48.13,11.97,4.53,27.53,1881,143.8,175.5,67.1
1.72,89.4,41,Male,5,2,maintain,39.14,22.01,19.67,47.22,13.15,4.75,30.2,3426,144.2,461.0,111.7
1.68,58.6,63,Female,5,2,gain_muscle,23.63,20.68,12.13,33.92,9.13,2.72,20.77,2443,120.7,302.0,83.6
1.564,49.5,36,Male,1,1,gain_muscle,21.31,18.52,9.18,29.31,8.65,2.08,20.25,1757,89.5,224.6,55.6
1.556,59.4,61,Female,2,2,maintain,25.88,35.56,21.11,29.72,7.0,2.93,24.53,1442,97.1,155.8,47.8
1.642,55.5,27,Female,2,1,maintain,26.32,40.88,22.68,23.28,5.71,2.9,20.59,1806,88.1,213.1,66.8
1.647,69.0,35,Female,4,3,lose_fat,26.9,42.1,29.04,27.46,8.53,3.47,25.44,1691,93.2,191.8,61.2
1.78,73.6,46,Male,4,3,maintain,38.12,29.18,21.47,38.1,10.79,3.64,23.21,2815,135.7,336.1,103.1
1.625,56.5,22,Female,5,2,lose_fat,23.26,36.52,20.62,25.87,6.98,2.61,21.39,1914,76.9,256.2,64.6
1.595,51.2,33,Female,2,1,gain_muscle,21.07,29.42,15.07,26.05,7.33,2.21,20.13,1819,82.5,230.5,63.0
1.682,49.7,32,Female,2,1,lose_fat,19.29,26.93,13.38,26.77,7.0,2.65,17.57,1192,69.8,134.4,41.7
1.822,70.4,31,Male,2,2,lose_fat,33.33,28.17,19.84,37.24,8.75,3.44,21.21,1752,109.2,203.5,55.7
1.786,77.7,66,Male,3,1,lose_fat,36.58,20.03,15.56,43.78,12.56,4.12,24.37,1956,127.0,204.7,69.9
1.8,77.4,38,Male,1,1,gain_muscle,38.75,18.89,14.63,45.9,12.03,3.7,23.9,2253,145.4,258.8,70.7
1.739,87.7,65,Male,2,1,lose_fat,41.41,27.18,23.83,48.3,13.26,4.32,29.0,1698,136.3,153.6,59.8
1.671,67.7,34,Male,2,1,maintain,34.51,15.83,10.72,42.66,11.3,3.05,24.25,2081,90.0,269.6,71.4
1.686,81.3,56,Male,2,2,lose_fat,39.64,21.9,17.81,44.68,13.28,3.33,28.61,1684,141.5,158.4,53.8
1.811,70.3,24,Male,3,1,lose_fat,30.53,13.89,9.77,43.06,12.22,2.53,21.43,2294,118.5,281.3,77.2
1.59,61.6,19,Female,1,1,lose_fat,25.97,35.43,21.84,30.66,8.0,3.11,24.38,1100,76.2,123.7,33.4
1.794,56.2,34,Male,5,3,maintain,24.98,25.86,14.53,30.43,7.78,2.67,17.46,2863,103.0,385.3,101.1
1.586,51.9,57,Female,1,1,maintain,22.93,34.19,17.73,25.02,6.52,2.06,20.61,1235,77.8,143.9,38.7
1.605,67.5,58,Female,2,1,gain_muscle,30.41,24.38,16.45,36.93,9.36,3.31,26.2,1904,126.7,218.8,58.0
1.713,81.5,40,Male,1,1,maintain,35.83,19.46,15.86,45.96,12.42,4.42,27.76,1992,113.6,236.8,65.6
1.683,54.3,54,Female,2,1,lose_fat,21.88,30.68,16.67,25.58,7.82,3.07,19.17,1100,73.2,124.2,34.5
1.871,103.4,45,Male,3,2,maintain,45.74,24.3,25.12,58.66,14.09,4.7,29.53,3060,202.0,353.8,93.0
1.664,83.8,26,Female,1,1,gain_muscle,38.34,35.51,29.74,39.36,10.5,3.34,30.25,2079,152.8,199.8,74.3
1.712,80.6,64,Male,2,1,lose_fat,32.73,28.89,23.29,39.66,11.51,3.6,27.5,1519,113.1,146.7,53.3
1.595,64.1,33,Female,3,2,lose_fat,27.08,27.27,17.47,34.79,8.22,2.53,25.17,1622,100.5,196.1,48.4
1.784,56.5,19,Male,3,2,gain_muscle,28.71,17.76,10.03,33.45,9.3,2.73,17.75,2724,117.7,356.5,91.9
1.745,77.8,67,Male,1,2,gain_muscle,39.73,12.04,9.37,47.51,12.18,3.33,25.55,2104,156.0,216.6,68.2
1.73,99.5,46,Male,3,2,lose_fat,42.7,22.77,22.66,54.51,16.29,5.32,33.24,2375,166.2,237.6,84.4
1.66,70.0,34,Female,2,1,maintain,26.75,33.46,23.41,33.62,8.96,3.47,25.4,1903,112.0,204.7,70.7
1.737,57.6,43,Female,4,2,lose_fat,28.27,31.68,18.24,27.22,7.38,2.88,19.08,1684,93.6,200.3,56.5
1.837,80.0,17,Male,4,3,gain_muscle,37.48,15.79,12.63,48.46,12.29,3.56,23.7,3547,167.9,478.3,106.9
1.725,82.7,46,Male,3,1,lose_fat,38.6,17.18,14.21,51.31,13.4,3.88,27.8,2184,148.1,215.9,80.9
1.794,72.5,50,Male,3,2,maintain,31.58,19.9,14.43,39.79,11.54,3.48,22.53,2499,137.5,286.1,89.4
1.586,61.1,59,Female,3,2,lose_fat,27.78,21.91,13.38,33.56,9.6,3.17,24.28,1387,108.9,128.0,48.8
1.7,47.7,52,Male,1,1,gain_muscle,20.83,17.6,8.39,27.91,7.72,2.0,16.5,1709,87.1,210.3,57.7
1.788,57.6,58,Male,3,2,maintain,24.88,18.53,10.67,32.71,9.88,2.51,18.0,2194,78.8,305.7,72.9
1.592,59.4,41,Female,4,3,lose_fat,26.81,35.82,21.27,27.63,7.28,3.1,23.44,1573,89.7,183.4,53.4
1.62,54.2,35,Female,2,2,lose_fat,20.63,32.28,17.49,26.53,7.16,2.47,20.65,1176,83.8,122.9,38.8
1.76,86.6,37,Male,4,2,lose_fat,44.58,20.72,17.93,52.4,13.65,3.6,27.96,2569,157.0,295.4,84.4
1.531,70.7,18,Female,1,1,gain_muscle,33.21,19.69,13.93,41.65,10.55,3.31,30.18,1815,130.6,175.1,65.8
1.788,91.0,19,Male,3,2,lose_fat,46.71,14.92,13.58,55.01,14.73,4.26,28.45,2545,168.0,282.2,82.7
1.684,59.0,54,Female,4,3,maintain,25.93,18.0,10.62,35.95,9.5,2.76,20.82,2080,116.5,265.1,61.5
1.819,92.5,25,Male,1,1,lose_fat,44.6,21.9,20.26,49.98,15.11,4.15,27.95,1882,148.9,182.3,61.9
1.564,75.1,57,Female,1,1,gain_muscle,29.69,18.59,13.96,41.75,12.61,3.35,30.68,1707,142.1,153.2,58.4
1.598,51.3,60,Female,3,3,maintain,22.9,31.4,16.12,25.68,7.64,2.33,20.11,1541,94.8,192.6,43.5
1.544,52.5,51,Female,4,3,gain_muscle,22.98,26.45,13.89,27.99,7.86,2.54,22.03,2139,112.6,259.9,72.1
1.755,87.2,45,Male,4,1,lose_fat,43.8,29.95,26.12,45.0,12.0,3.43,28.32,2463,117.7,332.2,73.7
1.561,74.6,34,Female,4,3,maintain,34.43,35.02,26.11,33.35,9.4,3.84,30.61,2347,142.9,238.4,91.3
1.706,60.0,30,Male,5,2,maintain,26.91,19.82,11.88,35.01,9.47,3.02,20.59,2887,109.4,359.7,112.3
1.891,89.9,40,Male,2,2,lose_fat,43.55,21.77,19.57,50.15,13.75,4.27,25.15,2075,158.8,195.7,73.0
1.717,80.2,38,Female,3,2,gain_muscle,33.29,24.81,19.9,44.42,12.85,3.26,27.19,2594,158.3,301.6,83.8
1.769,72.7,39,Male,4,2,lose_fat,35.99,23.08,16.79,40.88,11.45,4.14,23.26,2313,121.1,283.9,77.0
1.658,66.3,36,Female,3,2,lose_fat,32.49,35.51,23.53,30.01,8.82,3.11,24.09,1505,91.1,167.7,52.2
1.602,52.7,34,Female,3,2,gain_muscle,23.29,28.76,15.14,28.02,7.33,2.76,20.52,2119,99.9,265.6,73.0
1.746,86.5,26,Male,2,2,maintain,38.63,17.98,15.55,48.66,12.94,3.6,28.37,2507,150.1,276.6,88.9
1.644,75.0,52,Female,2,1,maintain,33.9,18.33,13.75,42.47,12.32,3.84,27.74,1802,109.4,214.4,56.3
1.788,80.0,44,Male,2,2,lose_fat,40.8,33.87,27.1,38.45,9.29,3.7,25.03,1628,120.4,162.4,55.2
1.742,81.1,37,Male,2,1,gain_muscle,38.03,11.91,9.65,52.16,13.73,3.72,26.71,2517,136.4,325.9,74.2
1.739,75.5,59,Male,3,1,maintain,32.35,23.66,17.86,43.86,10.75,3.33,24.96,2386,118.9,284.8,85.7
1.647,66.8,28,Female,3,2,gain_muscle,26.8,31.29,20.9,33.37,9.72,3.02,24.62,2399,139.2,283.5,78.7
1.817,76.6,40,Male,3,2,gain_muscle,33.67,11.01,8.43,47.46,12.36,3.54,23.19,2885,158.6,338.8,99.5
1.684,77.4,25,Male,2,1,lose_fat,38.07,21.96,16.99,42.82,11.4,3.41,27.27,1840,121.3,185.2,68.2
1.683,79.5,53,Male,5,3,lose_fat,40.07,17.19,13.66,45.34,13.06,3.62,28.06,2567,148.0,290.6,90.3
1.655,58.1,58,Female,1,2,maintain,22.48,28.48,16.55,29.2,7.78,3.13,21.21,1347,102.1,125.5,48.5
1.647,50.1,49,Female,4,2,maintain,20.96,21.54,10.79,29.27,7.48,2.0,18.47,1954,81.9,262.2,64.2
1.686,66.2,52,Female,2,2,maintain,29.4,35.23,23.33,31.07,8.37,3.55,23.3,1757,116.8,185.4,60.9
1.594,50.3,60,Female,3,2,lose_fat,18.83,38.11,19.18,21.39,6.01,2.0,19.8,1100,68.6,126.5,35.5
1.681,60.1,61,Female,1,2,gain_muscle,27.59,24.98,15.01,32.0,8.37,2.57,21.27,1689,121.9,159.3,62.7
1.759,60.8,16,Male,3,1,gain_muscle,32.0,18.06,10.99,34.71,9.78,2.59,19.65,2639,101.0,362.3,87.3
1.819,63.8,24,Male,3,2,lose_fat,29.29,13.02,8.31,40.36,11.74,2.88,19.28,2161,116.3,278.2,64.8
1.641,63.6,53,Female,3,2,maintain,28.87,27.38,17.43,31.42,8.82,3.16,23.62,1848,112.5,231.4,52.5
1.45,42.0,37,Female,3,1,gain_muscle,18.0,25.74,10.81,22.9,6.72,2.21,19.98,1712,67.3,222.1,61.6
1.754,84.8,45,Male,5,2,gain_muscle,40.62,20.41,17.31,47.66,13.67,3.97,27.58,3547,170.2,475.6,107.1
1.764,74.0,53,Male,3,2,lose_fat,32.56,19.73,14.61,45.37,11.93,3.59,23.79,2034,124.0,237.4,65.4
1.753,64.3,31,Female,1,1,gain_muscle,24.53,28.39,18.26,34.2,8.1,3.38,20.94,1864,111.3,205.1,66.5
1.719,61.2,51,Male,3,1,maintain,30.99,16.39,10.04,35.64,9.29,3.39,20.73,2245,79.8,325.8,69.2
1.645,70.6,21,Female,3,3,gain_muscle,34.94,27.73,19.59,34.8,10.27,2.81,26.12,2543,142.0,311.3,81.1
1.722,70.6,67,Male,3,3,gain_muscle,31.69,23.82,16.83,39.51,11.12,3.36,23.81,2652,155.8,314.6,85.6
1.688,54.5,37,Male,5,3,gain_muscle,26.24,8.0,4.36,35.05,9.29,2.22,19.11,3031,122.0,395.9,106.6
1.615,71.6,42,Female,3,2,lose_fat,30.25,27.34,19.57,37.48,10.61,4.03,27.46,1705,118.1,185.5,54.5
1.685,74.1,29,Male,5,2,lose_fat,34.2,14.45,10.7,48.33,11.9,3.46,26.08,2738,133.2,357.3,86.2
1.826,88.6,64,Male,1,2,lose_fat,38.38,21.21,18.78,51.61,14.55,4.41,26.55,1559,159.6,118.6,49.6
1.57,65.7,37,Female,3,2,maintain,27.58,29.75,19.55,34.3,10.31,3.09,26.67,1987,110.9,239.8,64.9
1.77,60.5,63,Female,3,1,maintain,28.23,34.83,21.08,29.61,6.93,3.27,19.33,1889,89.3,246.6,60.6
1.752,99.5,44,Male,5,3,lose_fat,48.75,22.11,22.0,57.23,14.79,5.46,32.41,3099,186.3,391.4,87.6
1.759,88.0,56,Male,2,1,maintain,38.73,23.76,20.9,51.26,12.75,4.37,28.43,2291,132.0,241.4,88.6
1.695,80.9,23,Female,3,2,lose_fat,37.52,27.44,22.19,42.33,11.49,4.43,28.14,2056,137.0,228.5,66.0
1.68,67.3,62,Female,1,1,gain_muscle,29.57,31.55,21.24,33.15,7.75,2.78,23.85,1678,107.4,175.8,60.6
1.746,71.2,69,Male,3,1,lose_fat,36.82,21.28,15.16,40.24,10.39,3.2,23.35,1763,109.8,194.8,60.5
1.788,81.7,67,Male,3,2,lose_fat,38.34,20.32,16.6,47.78,12.43,4.24,25.54,2017,136.5,222.6,64.5
1.73,81.7,58,Male,4,2,lose_fat,36.84,15.65,12.78,48.42,14.72,3.84,27.28,2340,153.8,240.6,84.7
1.695,81.8,44,Male,2,1,lose_fat,38.56,22.97,18.78,44.62,12.22,3.89,28.47,1788,131.0,197.9,52.5
1.679,70.9,20,Male,4,1,lose_fat,33.23,24.59,17.44,36.95,10.62,3.48,25.16,2359,101.8,327.3,71.4
1.45,49.8,54,Female,2,2,maintain,18.76,25.79,12.85,26.9,7.03,2.44,23.69,1317,96.5,144.6,39.2
1.82,100.6,48,Male,3,3,lose_fat,46.96,14.75,14.84,65.57,17.14,5.02,30.38,2579,210.3,239.4,86.7
1.708,85.6,67,Male,3,1,gain_muscle,36.5,18.8,16.09,53.97,12.51,3.79,29.33,2611,161.0,286.3,91.3
